集合名称,索引名称,索引字段,字段排序,唯一索引,优先级,说明,用途
users,openId_unique,openId,1,是,最高,用户登录唯一性索引,用户登录查询
users,level_points_ranking,level|-1|points|-1,,否,高,排行榜查询索引,用户排行榜排序
users,lastLoginAt_index,lastLoginAt,-1,否,中,最后登录时间索引,活跃用户统计
user_sessions,userId_expiresAt_index,userId|expiresAt,1|1,否,高,用户会话管理索引,会话查询和过期清理
user_sessions,accessToken_index,accessToken,1,否,最高,Token验证索引,Token验证查询
user_sessions,userId_index,userId,1,否,中,用户ID索引,用户会话列表查询
meals,userId_mealDate_index,userId|mealDate,1|-1,否,最高,个人餐食记录查询索引,个人餐食记录查询（最高频）
meals,userId_createdAt_index,userId|createdAt,1|-1,否,高,最近记录查询索引,最近记录查询
meals,userId_source_orderId_unique,userId|source|sourceOrderId,1|1|1,是,最高,防重复同步索引,防止第三方订单重复同步
meals,isPublic_createdAt_index,isPublic|createdAt,1|-1,否,中,公开动态查询索引,公开动态查询
daily_stats,userId_date_index,userId|date,1|-1,否,最高,个人统计查询索引,个人每日统计查询
daily_stats,date_carbonReduction_ranking,date|totalCarbonReduction,-1|-1,否,高,每日排行榜索引,每日排行榜查询
daily_stats,userId_date_unique,userId|date,1|1,是,最高,数据唯一性索引,保证每日统计数据唯一性
gardens,userId_unique,userId,1,是,最高,个人花园唯一性索引,个人花园查询
ingredients,name_index,name,1,否,高,食材名称查询索引,食材名称搜索
ingredients,category_index,category,1,否,中,分类查询索引,按分类查询食材
ingredients,status_index,status,1,否,高,状态查询索引,按状态查询食材
ingredients,certificationCount_index,certificationCount,-1,否,中,认证数量排序索引,按认证数量排序
ingredients,createdAt_index,createdAt,-1,否,中,创建时间索引,按创建时间排序
recipes,usageCount_index,usageCount,-1,否,中,热门食谱排序索引,热门食谱排序
recipes,isBaseRecipe_status_index,isBaseRecipe|status,1|1,否,高,基础食谱状态索引,查询基础食谱列表
recipes,isBaseRecipe_createdAt_index,isBaseRecipe|createdAt,1|-1,否,高,基础食谱创建时间索引,按创建时间排序基础食谱
recipes,certificationCount_index,certificationCount,-1,否,中,认证数量排序索引,按认证数量排序
recipes,status_index,status,1,否,高,状态查询索引,按状态查询食谱
plant_templates,plantId_index,plantId,1,否,高,植物模板ID索引,植物模板查询
plant_templates,category_index,category,1,否,中,植物分类索引,按分类查询植物
meat_products,name_unique,name,1,是,最高,肉类产品名称唯一性索引,产品名称唯一性
meat_products,category_subcategory_index,category|subcategory,1|1,否,高,分类查询索引,按分类查询产品
meat_products,carbonFootprint_index,carbonFootprint,-1,否,中,碳足迹排序索引,按碳足迹排序
meat_products,status_index,status,1,否,中,状态查询索引,按状态查询产品
sync_tasks,userId_platform_status_index,userId|platform|status,1|1|1,否,高,任务管理索引,任务管理查询
sync_tasks,status_nextRetry_index,status|nextRetry,1|1,否,高,重试队列索引,重试队列查询
sync_tasks,platform_orderId_unique,platform|orderId,1|1,是,最高,任务唯一性索引,任务唯一性保证
platform_configs,platform_unique,platform,1,是,高,平台配置唯一性索引,平台配置唯一性
friends,userId_friendId_unique,userId|friendId,1|1,是,高,好友关系唯一性索引,好友关系唯一性
friends,userId_status_index,userId|status,1|1,否,高,好友列表查询索引,好友列表查询
posts,userId_createdAt_index,userId|createdAt,1|-1,否,中,个人动态查询索引,个人动态查询
